Altium Designer Pick and Place Locations
\\Mac\Home\Yandex.Disk.localized\Development\Jobs\RHS\rPLC\BareMetal-PLC-M\doc\pcb\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       11/02/26
Time:       23:26
Revision:   12648622aa165358f983bbb4c68888d586e45b85
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","100nF","TopLayer","C_0603","59.2000","-44.1000","90","Capacitor"
"C6","8pF 50V","TopLayer","C_0603","52.6250","-33.8750","180","Capacitor"
"D4","ESDCAN24-2BLY","TopLayer","SOT23","83.2680","-8.3025","0","ESD"
"D9","BZV55C10","TopLayer","SOD80C","37.1000","-46.3000","0","Diode"
"D11","SM5819PL-TP","TopLayer","SOD-123","62.8500","-54.0500","180","Diode"
"D1","Green","TopLayer","LED_1206","71.8000","-30.9750","90","Typical INFRARED GaAs LED"
"D2","Green","TopLayer","LED_1206","74.3250","-30.9750","270","Typical INFRARED GaAs LED"
"L1","CD54NP-221KC","TopLayer","CD54NP","56.5000","-52.0750","180","Inductor"
"Q6","IRF7205","TopLayer","SO-8_M","37.0901","-52.1228","270","30V P-Channel  MOSFET"
"Q1","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","15.9875","-31.1422","90","Dual N-ch Mosfet"
"Q2","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-25.0922","90","Dual N-ch Mosfet"
"Q3","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-19.0422","90","Dual N-ch Mosfet"
"Q4","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-13.0422","90","Dual N-ch Mosfet"
"Q5","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0125","-7.0372","90","Dual N-ch Mosfet"
"R23","10K","TopLayer","R_0603","37.8250","-26.3000","270","Resistor"
"R27","10K","TopLayer","R_0603","49.1422","-11.3750","270","Resistor"
"R29","1K","TopLayer","R_0603","53.3750","-10.3750","180","Resistor"
"R28","3.3K","TopLayer","R_0603","53.3750","-8.8500","0","Resistor"
"R15","120","TopLayer","R_0603","83.2750","-14.3500","270","Resistor"
"R13","10k","TopLayer","R_0603","82.8749","-20.9578","0","Resistor"
"R14","10k","TopLayer","R_0603","82.8749","-25.6328","180","Resistor"
"R30","3.3K","TopLayer","R_0805","21.3500","-53.0500","270","Resistor"
"R55","1K","TopLayer","R_0603","32.3500","-54.5000","90","Resistor"
"R40","680","TopLayer","R_0603","28.4000","-52.0500","180","Resistor"
"R31","3.3K","TopLayer","R_0805","21.3500","-48.3500","270","Resistor"
"R56","1K","TopLayer","R_0603","32.3500","-49.6875","270","Resistor"
"R41","680","TopLayer","R_0603","28.3000","-47.3000","180","Resistor"
"R65","100K","TopLayer","R_0603","37.0250","-43.7750","0","Resistor"
"R32","3.3K","TopLayer","R_0805","21.3500","-43.6000","270","Resistor"
"R57","1K","TopLayer","R_0603","32.3500","-44.8750","270","Resistor"
"R42","680","TopLayer","R_0603","28.4000","-42.5500","180","Resistor"
"R33","3.3K","TopLayer","R_0805","21.4500","-39.1500","270","Resistor"
"R58","1K","TopLayer","R_0603","32.3500","-40.0625","270","Resistor"
"R43","680","TopLayer","R_0603","28.4000","-37.6000","180","Resistor"
"R34","3.3K","TopLayer","R_0805","21.4500","-35.4500","90","Resistor"
"R59","1K","TopLayer","R_0603","32.3500","-35.2500","270","Resistor"
"R44","680","TopLayer","R_0603","28.4000","-32.8000","180","Resistor"
"R61","1K","TopLayer","R_0603","19.5000","-53.8500","90","Resistor"
"R62","1K","TopLayer","R_0603","19.5000","-49.4750","90","Resistor"
"R35","100","TopLayer","R_0603","30.5500","-29.9000","270","Resistor"
"R45","100","TopLayer","R_0603","20.6500","-32.5500","90","Resistor"
"R63","1K","TopLayer","R_0603","19.5000","-45.1000","90","Resistor"
"R46","100","TopLayer","R_0603","20.6500","-29.5500","90","Resistor"
"R64","1K","TopLayer","R_0603","19.5000","-40.7250","90","Resistor"
"R36","100","TopLayer","R_0603","30.5500","-24.4250","270","Resistor"
"R47","100","TopLayer","R_0603","20.6500","-26.5500","90","Resistor"
"R60","1K","TopLayer","R_0603","19.5000","-36.4500","90","Resistor"
"R48","100","TopLayer","R_0603","20.6500","-23.5500","90","Resistor"
"R37","100","TopLayer","R_0603","30.5500","-18.5500","270","Resistor"
"R49","100","TopLayer","R_0603","20.6500","-20.5500","90","Resistor"
"R50","100","TopLayer","R_0603","20.6500","-17.5500","90","Resistor"
"R38","100","TopLayer","R_0603","30.5500","-14.5000","90","Resistor"
"R51","100","TopLayer","R_0603","20.6500","-14.5500","90","Resistor"
"R52","100","TopLayer","R_0603","20.6500","-11.5500","90","Resistor"
"R39","100","TopLayer","R_0603","30.5500","-9.0500","90","Resistor"
"R53","100","TopLayer","R_0603","20.6500","-8.5500","90","Resistor"
"R54","100","TopLayer","R_0603","20.6500","-5.5500","90","Resistor"
"R68","0.33","TopLayer","R_1206","42.7500","-53.9500","0","Resistor"
"R66","3.6K","TopLayer","R_0603","46.2000","-48.1000","270","Resistor"
"R67","1.2K","TopLayer","R_0603","48.4750","-48.7000","180","Resistor"
"R2","0","TopLayer","R_0603","68.4000","-36.9000","180","Resistor"
"R3","0","TopLayer","R_0603","68.7750","-39.5500","90","Resistor"
"R4","0","TopLayer","R_0603","67.0750","-42.2750","90","Resistor"
"R7","4.7K","TopLayer","R_0603","62.2500","-44.1000","270","Resistor"
"R1","4.7K","TopLayer","R_0603","63.7750","-44.1000","270","Resistor"
"R5","100","TopLayer","R_0603","68.3500","-30.7750","180","Resistor"
"R6","100","TopLayer","R_0603","68.3500","-32.3000","180","Resistor"
"R12","100","TopLayer","R_0603","67.0750","-39.5500","90","Resistor"
"R8","10K","TopLayer","R_0603","53.8500","-32.3250","180","Resistor"
"R9","1.5K","TopLayer","R_0603","68.4000","-35.3500","0","Resistor"
"R10","100K","TopLayer","R_0603","60.7250","-44.1000","270","Resistor"
"R11","100K","TopLayer","R_0603","59.5750","-30.7750","180","Resistor"
"RLINK1","PLS2-5","TopLayer","PLS-5-3D","63.3500","-28.3750","0","Header, 5-Pin"
"U10","BC847B","TopLayer","SOT23","56.5500","-9.5070","270","45V 200mW 200@2mA,5V 100mA NPN SOT-23-3 Bipolar (BJT)"
"U4","SN65HVD232D","TopLayer","SO-8_M","77.4250","-8.3000","0","CAN_transiever"
"U16","TLP290","TopLayer","SO4_1.27","26.9250","-54.3850","0","4-Pin Phototransistor Optocoupler"
"U17","TLP290","TopLayer","SO4_1.27","26.9250","-49.7150","0","4-Pin Phototransistor Optocoupler"
"U18","TLP290","TopLayer","SO4_1.27","26.9250","-44.8850","0","4-Pin Phototransistor Optocoupler"
"U19","TLP290","TopLayer","SO4_1.27","26.9250","-40.0150","0","4-Pin Phototransistor Optocoupler"
"U20","TLP290","TopLayer","SO4_1.27","26.9250","-35.2150","0","4-Pin Phototransistor Optocoupler"
"U22","CPC1008N","TopLayer","SO4_2_54","14.3940","-54.5300","180","4-Pin Phototransistor Optocoupler"
"U23","CPC1008N","TopLayer","SO4_2_54","14.3940","-50.0219","180","4-Pin Phototransistor Optocoupler"
"U11","VOM1271","TopLayer","SOP-4","25.9500","-29.4200","180","Photovoltaic MOSFET Driver"
"U24","CPC1008N","TopLayer","SO4_2_54","14.3940","-45.4538","180","4-Pin Phototransistor Optocoupler"
"U25","CPC1008N","TopLayer","SO4_2_54","14.3940","-40.9281","180","4-Pin Phototransistor Optocoupler"
"U21","CPC1008N","TopLayer","SO4_2_54","14.3940","-36.4200","180","4-Pin Phototransistor Optocoupler"
"U12","VOM1271","TopLayer","SOP-4","25.9500","-23.7825","180","Photovoltaic MOSFET Driver"
"U13","VOM1271","TopLayer","SOP-4","25.9500","-18.1450","180","Photovoltaic MOSFET Driver"
"U14","VOM1271","TopLayer","SOP-4","25.9500","-12.5075","180","Photovoltaic MOSFET Driver"
"U15","VOM1271","TopLayer","SOP-4","25.9500","-6.8700","180","Photovoltaic MOSFET Driver"
"U27","MC33063","TopLayer","SO-8","49.3000","-52.3500","180","Step-up/down IC"
"XTAL4","X32258MOB4SI","TopLayer","NX3225GA","37.6500","-21.4000","90","Crystal Oscillator"
"XTAL1","X32258MOB4SI","TopLayer","NX3225GA","52.6000","-36.8750","90","Crystal Oscillator"
