Description,Comment,Designator,Footprint,Part,Alternative Part,Quantity

"Battery","2998TR","BAT1","BAT_2998TR","2998TR","","1"
"Piezoelectric Sounders","L-KLS3-SMT-09X1.8","BUZ1","SPKR_PKMCS0909E4000-R1","L-KLS3-SMT-09X1.8","PKMCS0909E4000-R1","1"
"Capacitor","100nF","C1, C2, C3, C4, C7, C8, C9, C10, C11, C12, C13, C14, C15, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32","C_0603","CC0603JPX7R9BB104","","25"
"Capacitor","8pF 50V","C5, C6, C17, C18, C19, C20","C_0603","CC0603DRNPO9BN8R0","","6"
"Capacitor","1uF 16V","C16, C34, C37","C_0603","CC0603KRX7R7BB105","","3"
"Tantal Capacitor","150uF 16V","C33","TANTAL_TYPE_D","T491D157K016AT","TAJD157K016RNJ","1"
"Capacitor","470pF 16V","C35","C_0603","CC0603KRX7R9BB471","","1"
"Capacitor","10nF 16V","C36","C_0603","CC0603JRX7R7BB103","","1"
"Tantal Capacitor","47uF 35V","C38","TANTAL_TYPE_X","T491X476K035AT","","1"
"Typical INFRARED GaAs LED","Green","D1, D2, D7","LED_1206","KP-3216SGD","","3"
"ESD","SM712-02HTG","D3","SOT23","SM712-02HTG","","1"
"ESD","ESDCAN24-2BLY","D4","SOT23","ESDCAN24-2BLY","","1"
"Diode","RB521S30T1G","D5","SOD-523","RB521S30T1G","","1"
"Typical INFRARED GaAs LED","Yellow","D6","LED_1206","KPT-3216SYC","","1"
"Typical INFRARED GaAs LED","Red","D8","LED_1206","KP-3216SRD","","1"
"Diode","BZV55C10","D9","SOD80C","BZV55C10","","1"
"Diode","SM5819PL-TP","D10, D11","SOD-123","SM5819PL-TP","","2"
"Inductor","CD54NP-221KC","L1","CD54NP","CD54NP-221KC","SM5845-221MT","1"
"Dual N-ch Mosfet","IPG20N06S2L65AATMA1","Q1, Q2, Q3, Q4, Q5","PowerFlat 5x6","IPG20N06S2L65AATMA1","","5"
"30V P-Channel  MOSFET","IRF7205","Q6","SO-8_M","IRF7205TRPBF","","1"
"Resistor","4.7k","R1, R7, R21, R22","R_0603","RC0603FR-074K7L","","4"
"Resistor","0","R2, R3, R4","R_0603","RC0603FR-070RL","","3"
"Resistor","100","R5, R6, R12, R24, R25, R26, R35, R36, R37, R38, R39, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54","R_0603","RC0603FR-07100RL","","21"
"Resistor","10k","R8, R13, R14, R23, R27","R_0603","RC0603FR-0710KL","","5"
"Resistor","1.5k","R9, R20","R_0603","RC0603FR-071K5L","","2"
"Resistor","100k","R10, R11, R17, R65","R_0603","RC0603FR-07100KL","","4"
"Resistor","120","R15","R_0603","RC0603FR-07120RL","","1"
"Resistor","2.7k","R16","R_0603","RC0603FR-072K7L","","1"
"Resistor","5.1k","R18, R19","R_0603","RC0603JR-075K1L","","2"
"Resistor","3.3k","R28","R_0603","RC0603FR-073K3L","","1"
"Resistor","1k","R29, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64","R_0603","RC0603FR-071KL","","11"
"Resistor","3.3k","R30, R31, R32, R33, R34","R_0805","RC0805FR-073K3L","","5"
